base_id,n,mode,kind,step_fraction,step,status,gap,curvature,H_mid,H_minus,H_plus,min_probability,normalization_residual,mobius_max_error,finite_difference_curvature,min_diagonal_separation,min_cross_block_bridge,min_supported_edge,exact_margin_mid,exact_margin_minus,exact_margin_plus,error
n8_03,8,0,CHORD,0.15,0.017187529077988165,NO_SIGNAL,-5.587612905877393e-05,-0.377529689641613,5.510986066000422,5.510961800791979,5.510898578950748,0.0021405674647002157,2.220446049250313e-16,,,0.013924448373999976,0.095290528831,0.079860550282,0.115,0.114819,0.115157,
n8_03,8,0,CHORD,0.4,0.04583341087463511,NO_SIGNAL,-0.0004022478009941821,-0.377529689641613,5.510986066000422,5.510690419187575,5.510477217211281,0.002128040611096187,2.220446049250313e-16,,,0.013916347657999983,0.09529049766,0.063725094317,0.115,0.114464,0.11537,
n8_03,8,0,CHORD,0.8,0.09166682174927022,NO_SIGNAL,-0.0016775445796533006,-0.377529689641613,5.510986066000422,5.509677448868088,5.50893959397345,0.0020938249047174444,2.220446049250313e-16,,,0.013903386512999993,0.095290447785,0.037908364774,0.115,0.113731,0.11557,
n8_04,8,1,BASE,,,NO_SIGNAL,,-0.760282760253914,5.429703069784741,,,0.0005164280324377076,0.0,1.4203048459560108e-16,-0.7602830365271984,0.021668779494000034,0.126828620873,0.126319789115,0.029999,,,
n8_04,8,1,CHORD,0.15,0.02579810062423298,NO_SIGNAL,-0.0002537211772963843,-0.760282760253914,5.429703069784741,5.429316764382353,5.429581932832535,0.0005144193105710964,2.220446049250313e-16,,,0.02160544134800002,0.126789569505,0.111121820748,0.029999,0.030139,0.02985,
n8_04,8,1,CHORD,0.4,0.06879493499795462,NO_SIGNAL,-0.0018356404861119557,-0.760282760253914,5.429703069784741,5.4273647697902,5.428370088807057,0.0005076360705657388,0.0,,,0.021499877772999998,0.126724483891,0.08579187347,0.029999,0.030351,0.029576,
n8_04,8,1,CHORD,0.8,0.13758986999590925,NO_SIGNAL,-0.007784721936308081,-0.760282760253914,5.429703069784741,5.4198745127493835,5.423962182947481,0.0004877094054884831,0.0,,,0.021330976052000072,0.126620346908,0.045263957825,0.029999,0.030647,0.029056,
n8_05,8,2,BASE,,,NO_SIGNAL,,-1.2709918188270757,5.321958728494302,,,3.583064723357776e-05,1.1102230246251565e-16,1.6067876196235176e-16,-1.2709918451037083,0.024482434711999956,0.198594014301,0.160294843081,0.0025,,,
n8_05,8,2,CHORD,0.15,0.02874609195299323,NO_SIGNAL,-0.0005265230053357328,-1.2709918188270757,5.321958728494302,5.320853170033434,5.322011240944497,3.5297685943363536e-05,2.220446049250313e-16,,,0.023406013133999926,0.197486992778,0.143339743674,0.0025,0.002481,0.00245,
n8_05,8,2,CHORD,0.4,0.07665624520798196,NO_SIGNAL,-0.003804952479391055,-1.2709918188270757,5.321958728494302,5.316312147288311,5.31999540474151,3.202962841211043e-05,2.220446049250313e-16,,,0.021611977171000052,0.195641956906,0.115081244663,0.0025,0.002289,0.00222,
n8_05,8,2,CHORD,0.8,0.15331249041596393,NO_SIGNAL,-0.016094901992216748,-1.2709918188270757,5.321958728494302,5.300107232435084,5.311620420569087,2.0431842783827875e-05,2.220446049250313e-16,,,0.018741519631000014,0.192689899512,0.069867646245,0.0025,0.001517,0.001481,
n11_00,11,0,BASE,,,NO_SIGNAL,,-0.27978270630220164,7.5917446699231474,,,0.0002035655539414404,0.0,,-0.27978295236152917,0.008787036746999988,0.097964791377,0.075890940312,0.114999,,,
n11_00,11,0,CHORD,0.15,0.010796795415383616,NO_SIGNAL,-1.633479110640934e-05,-0.27978270630220164,7.5917446699231474,7.591625824246408,7.5918308460176736,0.00020254467286329368,0.0,,,0.008784725439999974,0.097964789893,0.068257299266,0.114999,0.11472,0.115247,
n11_00,11,0,CHORD,0.4,0.02879145444102298,NO_SIGNAL,-0.00011735576995874908,-0.27978270630220164,7.5917446699231474,7.591336187580584,7.591918440725793,0.0002010970181966357,0.0,,,0.008780873260999966,0.097964787421,0.055534564188,0.114999,0.114169,0.1156,
n11_00,11,0,CHORD,0.8,0.05758290888204596,NO_SIGNAL,-0.00048615318615929937,-0.27978270630220164,7.5917446699231474,7.590552191869024,7.591964841604952,0.0001994408503690519,2.220446049250313e-16,,,0.008774709775,0.097964783465,0.035178188064,0.114999,0.112994,0.116044,
n11_01,11,1,BASE,,,NO_SIGNAL,,-0.7175897390484899,7.489472490925091,,,3.76446363922205e-05,4.440892098500626e-16,,-0.717589365706317,0.01281651136999995,0.117255205226,0.117255205226,0.03,,,
n11_01,11,1,CHORD,0.15,0.019930996665991314,NO_SIGNAL,-0.00014286231831395213,-0.7175897390484899,7.489472490925091,7.489838141017017,7.488821116196537,3.696929453365404e-05,4.440892098500626e-16,,,0.012801662616999998,0.117106921129,0.104284624815,0.03,0.030409,0.029531,
n11_01,11,1,CHORD,0.4,0.05314932444264351,NO_SIGNAL,-0.0010304073136930825,-0.7175897390484899,7.489472490925091,7.489974249394681,7.486909917828114,3.567694914957934e-05,4.440892098500626e-16,,,0.012776914693999997,0.116859780967,0.080965617517,0.03,0.030982,0.028596,
n11_01,11,1,CHORD,0.8,0.10629864888528702,NO_SIGNAL,-0.00432556637371917,-0.7175897390484899,7.489472490925091,7.489445547691869,7.480848301410875,3.317453486978575e-05,4.440892098500626e-16,,,0.012737318019999999,0.116464356709,0.04365520584,0.03,0.031669,0.026571,
n11_02,11,2,BASE,,,NO_SIGNAL,,-0.937570543207562,7.367784435313018,,,2.6563080923949863e-06,0.0,,-0.937570554526701,0.014637814513000003,0.139122624823,0.134651210072,0.002499,,,
n11_02,11,2,CHORD,0.15,0.023869069820956233,NO_SIGNAL,-0.0002677303644880169,-0.937570543207562,7.367784435313018,7.368209276095516,7.366824133801544,2.554631232177235e-06,0.0,,,0.014564972753999983,0.138913240517,0.118203528562,0.002499,0.002543,0.002449,
n11_02,11,2,CHORD,0.4,0.06365085285588329,NO_SIGNAL,-0.00193211705775731,-0.937570543207562,7.367784435313018,7.36801972440472,7.363684912105802,2.355997026634699e-06,0.0,,,0.014443569823000046,0.138564266674,0.090790726044,0.002499,0.002603,0.002346,
n11_02,11,2,CHORD,0.8,0.12730170571176658,NO_SIGNAL,-0.008128024926014277,-0.937570543207562,7.367784435313018,7.366242301069677,7.353070519704331,1.9610017118655816e-06,4.440892098500626e-16,,,0.014249325133000035,0.138005908524,0.046930242016,0.002499,0.00267,0.002119,
n11_03,11,0,BASE,,,NO_SIGNAL,,-0.3641083691190027,7.573168989717637,,,0.00020635491830089692,2.220446049250313e-16,,-0.36410874315606634,0.010930986157999978,0.086365453592,0.086365453592,0.115,,,
n11_03,11,0,CHORD,0.15,0.013018213399940632,NO_SIGNAL,-3.091246530928515e-05,-0.3641083691190027,7.573168989717637,7.5729515442758,7.573324610228854,0.00020475817079612874,4.440892098500626e-16,,,0.010930971643999976,0.077160635554,0.077160635554,0.115,0.11468,0.114914,
n11_03,11,0,CHORD,0.4,0.034715235733175025,NO_SIGNAL,-0.00022238845610456082,-0.3641083691190027,7.573168989717637,7.572413398640551,7.573479803882513,0.00020173024382144367,2.220446049250313e-16,,,0.010930947452999995,0.061819272156,0.061819272156,0.115,0.113378,0.114748,
n11_03,11,0,CHORD,0.8,0.06943047146635005,NO_SIGNAL,-0.000925443346469379,-0.3641083691190027,7.573168989717637,7.570927130686988,7.573559962055346,0.00019593227433521221,2.220446049250313e-16,,,0.010930908748000012,0.03727309072,0.03727309072,0.115,0.110191,0.114421,
n11_04,11,1,BASE,,,NO_SIGNAL,,-0.8442181834877902,7.451120008450857,,,2.9937641045996574e-05,2.220446049250313e-16,,-0.8442180288170675,0.013675543198000017,0.144233965265,0.128113482124,0.03,,,
n11_04,11,1,CHORD,0.15,0.022081820896631018,NO_SIGNAL,-0.00020633048474660853,-0.8442181834877902,7.451120008450857,7.451564510133188,7.450262845799033,2.9324754879052007e-05,2.220446049250313e-16,,,0.013523960037000016,0.144172475608,0.112646459806,0.03,0.030102,0.029881,
n11_04,11,1,CHORD,0.4,0.058884855724349386,NO_SIGNAL,-0.0014893414610348543,-0.8442181834877902,7.451120008450857,7.451623655442379,7.447637678537267,2.813929452844705e-05,2.220446049250313e-16,,,0.01327132143700005,0.144069992845,0.086868089275,0.03,0.030244,0.029642,
n11_04,11,1,CHORD,0.8,0.11776971144869877,NO_SIGNAL,-0.006269371010121816,-0.8442181834877902,7.451120008450857,7.450644231846681,7.439057043034789,2.5813721466853567e-05,2.220446049250313e-16,,,0.012867099674999993,0.143906020425,0.045622696426,0.03,0.030411,0.029103,
n11_05,11,2,BASE,,,NO_SIGNAL,,-1.2855757352779245,7.274262793614626,,,8.00237828064313e-07,0.0,,-1.2855757347551844,0.01973690677600004,0.182626462579,0.156122927085,0.0025,,,
n11_05,11,2,CHORD,0.15,0.0247976608600587,NO_SIGNAL,-0.0003960346709668272,-1.2855757352779245,7.274262793614626,7.272983735736897,7.274749782150421,7.164133562041488e-07,3.3306690738754696e-16,,,0.01938900493199991,0.181982532646,0.139270635112,0.0025,0.002295,0.002667,
n11_05,11,2,CHORD,0.4,0.06612709562682322,NO_SIGNAL,-0.0028498353754402572,-1.2855757352779245,7.274262793614626,7.268652027266025,7.274173889212346,5.488893479916246e-07,0.0,,,0.01880916852600001,0.180909316092,0.111183481824,0.0025,0.001854,0.002876,
n11_05,11,2,CHORD,0.8,0.13225419125364643,NO_SIGNAL,-0.011877995160587851,-1.2855757352779245,7.274262793614626,7.253999473881602,7.270770123026473,2.0748856755823866e-07,2.220446049250313e-16,,,0.017881430275999977,0.179192169604,0.066244036563,0.0025,0.000786,0.003059,
n11_06,11,0,BASE,,,NO_SIGNAL,,-0.3245069643241283,7.586671008486408,,,0.00022516402741966853,0.0,,-0.3245068214141611,0.008593856233000019,0.082222700882,0.081565686147,0.114999,,,
n11_06,11,0,CHORD,0.15,0.01202856873733749,NO_SIGNAL,-2.351819654666798e-05,-0.3245069643241283,7.586671008486408,7.586780842839344,7.586514137740378,0.00022372868337622531,1.1102230246251565e-16,,,0.008592873122999944,0.082185078889,0.073080833225,0.114999,0.114948,0.115046,
n11_06,11,0,CHORD,0.4,0.032076183299566643,NO_SIGNAL,-0.00016907982691716228,-0.3245069643241283,7.586671008486408,7.586883849272827,7.586120008046153,0.00022102668966341812,0.0,,,0.008591234607999931,0.082122375568,0.058939411689,0.114999,0.114853,0.115114,
n11_06,11,0,CHORD,0.8,0.06415236659913329,NO_SIGNAL,-0.0007020303427660579,-0.3245069643241283,7.586671008486408,7.586916637147827,7.585021319139456,0.0002158984321163448,0.0,,,0.008588612981999977,0.082022050254,0.036313137231,0.114999,0.114667,0.115196,
n11_07,11,1,BASE,,,NO_SIGNAL,,-1.1937506518754695,7.379741450420135,,,2.162227855175979e-05,0.0,,-1.193751053563119,0.016949658958999914,0.146417468872,0.146417468872,0.029999,,,
n11_07,11,1,CHORD,0.15,0.026160098909731613,NO_SIGNAL,-0.00040956009006531957,-1.1937506518754695,7.379741450420135,7.3780067154465065,7.380657065213634,2.0243621549943633e-05,1.1102230246251565e-16,,,0.016782783191000017,0.128204848542,0.128204848542,0.029999,0.028337,0.031357,
n11_07,11,1,CHORD,0.4,0.0697602637592843,NO_SIGNAL,-0.002960047533123067,-1.1937506518754695,7.379741450420135,7.3727150226181735,7.38084778315585,1.7531191396703078e-05,2.220446049250313e-16,,,0.016504656911000004,0.097850481324,0.097850481324,0.029999,0.024876,0.032963,
n11_07,11,1,CHORD,0.8,0.1395205275185686,NO_SIGNAL,-0.01252471016941481,-1.1937506518754695,7.379741450420135,7.355317185244717,7.379116295256725,1.2148368174704785e-05,0.0,,,0.015593626987000009,0.049283493776,0.049283493776,0.029999,0.017547,0.033928,
n11_08,11,2,BASE,,,NO_SIGNAL,,-1.0573368164392383,7.347774696970841,,,2.0772389694645374e-06,0.0,,-1.0573369735311644,0.016783305131000015,0.149439671777,0.144553305818,0.0025,,,
n11_08,11,2,CHORD,0.15,0.02623442677133956,NO_SIGNAL,-0.00036478595489874976,-1.0573368164392383,7.347774696970841,7.348346268295828,7.346473553736057,2.041969615317683e-06,2.220446049250313e-16,,,0.016654988378000002,0.149326165174,0.126620309946,0.0025,0.002491,0.002506,
n11_08,11,2,CHORD,0.4,0.06995847139023884,NO_SIGNAL,-0.002634726589843872,-1.0573368164392383,7.347774696970841,7.348077000262355,7.342202940499639,1.956771059223176e-06,1.1102230246251565e-16,,,0.016441127123999977,0.14903403871,0.096731983492,0.0025,0.002472,0.002512,
n11_08,11,2,CHORD,0.8,0.13991694278047767,NO_SIGNAL,-0.011116692133498418,-1.0573368164392383,7.347774696970841,7.345630608256579,7.3276854014181065,1.752752652401533e-06,0.0,,,0.01609894911599996,0.145704261724,0.048910661165,0.0025,0.002427,0.00251,
n11_09,11,0,BASE,,,NO_SIGNAL,,-0.27289733216356477,7.588725983188502,,,0.00019925426658848753,1.1102230246251565e-16,,-0.2728969050735941,0.008819884270000022,0.092965460927,0.074844051885,0.115,,,
n11_09,11,0,CHORD,0.15,0.010574513164674972,NO_SIGNAL,-1.5283126702847483e-05,-0.27289733216356477,7.588725983188502,7.588806428574865,7.588614971548734,0.00019803612215001651,1.1102230246251565e-16,,,0.008819884257000032,0.092964959041,0.067367444103,0.115,0.115745,0.114206,
n11_09,11,0,CHORD,0.4,0.028198701772466597,NO_SIGNAL,-0.00010978366494640568,-0.27289733216356477,7.588725983188502,7.588887956544191,7.588344442502921,0.00019575821103566928,4.440892098500626e-16,,,0.008819884234999964,0.092964122565,0.054906431132,0.115,0.11689,0.112768,
