index,n,mode,margin,entropy,min_atom,normalization_residual,lambda_max_coordinate,lambda_max,fisher_along_top,acceleration_along_top,fisher_max_eigenvalue,acceleration_max_eigenvalue,mechanism_ratio,mechanism_fisher,mechanism_acceleration,mechanism_total,mechanism_rank,direction_rank,direction_singular_1,direction_singular_2,step,gap,endpoint_margin,status
34,3,2,0.03999999999999998,1.5337010975352199,0.016247160667422128,2.220446049250313e-16,-0.8611800272965979,-0.8588841221173291,-0.5564522349395069,-0.30243188717782443,-0.5442242451251224,3.7106039998519944,0.2329140150570849,-1.000000000000001,0.23291401505708514,-0.7670859849429159,3,3,1.0000000000000002,0.9966988435343642,0.028675279744477002,-0.00038503872405937223,0.037976769253596054,NO_HIT
35,3,3,0.08746331191463685,1.9230655243123458,0.025809240241810645,1.1102230246251565e-16,-1.0100247450196485,-0.9953312994781495,-0.6612317727817492,-0.3340995266964011,-0.6681000578608275,1.0547728960527127,0.17545848822977436,-1.0000000000000007,0.17545848822977447,-0.8245415117702262,3,3,0.9999999999999997,0.9844619858274071,0.06908855659239105,-0.0025270330266367047,0.07872806083498474,NO_HIT
36,3,0,0.18046886905862033,1.7661999414186385,0.019593672496135875,0.0,-0.012745475642651483,-0.012745374947030333,-0.0084976157310215,-0.00424775921600995,-0.00849768243639401,0.14764382004529378,0.030529325368320162,-1.0000000000000004,0.030529325368320176,-0.9694706746316802,3,3,1.0000000000000004,0.999992098246766,0.04601673404811256,-7.891337363030715e-05,0.15449558677451009,NO_HIT
37,3,1,0.08420575960222501,1.604196917011063,0.007047892787752884,1.1102230246251565e-16,-0.8363189731522394,-0.8289108593033809,-0.5618677826233908,-0.2670430766799883,-0.5663068951211975,1.2930691015727451,0.19285850615223107,-0.9999999999999984,0.19285850615223077,-0.8071414938477677,3,3,1.0,0.9909604362090522,0.021327830362896302,-0.00019374838469876643,0.06812652037351236,NO_HIT
38,3,2,0.040000000000000036,1.6744470583761792,0.019071612043441523,0.0,-3.6057943167449573,-3.261918500968648,-2.310054491393145,-0.9518640095755027,-2.1429986088112223,3.67303490872134,0.30508192828799197,-1.0,0.30508192828799197,-0.694918071712008,3,3,1.0000000000000002,0.8120082568756786,0.028969651130009495,-0.0013802655420016574,0.03494009308626023,NO_HIT
39,3,3,0.17390220077454366,1.7632309990180044,0.027287859287247144,0.0,-0.009468396118570586,-0.009468320646422265,-0.0063118599181566665,-0.0031564607282663637,-0.006311909719245794,0.4770785881899692,0.08175772688436035,-1.0000000000000004,0.0817577268843604,-0.9182422731156401,3,3,1.0,0.999992028469925,0.07529799309943902,-0.00027618017286101804,0.1660884266396715,NO_HIT
40,3,0,0.12284181444917353,1.3957916420453653,0.005032035821594321,1.1102230246251565e-16,-0.010573648138220199,-0.010573615102006257,-0.007051306916438247,-0.0035223081855697558,-0.007051327514347146,0.0730853890272801,0.010776882727435386,-0.9999999999999992,0.010776882727435377,-0.9892231172725638,3,3,0.9999999999999997,0.999996875145116,0.027707882122089317,-2.197653136137845e-05,0.10175509229188875,NO_HIT
41,3,1,0.006372810606152496,1.1695760957614814,0.00030593827237917906,2.220446049250313e-16,-0.023798565968376494,-0.023796362062310315,-0.01583125667565958,-0.007965105386650073,-0.015832312492244153,1.7604219086539612,0.09521504707731301,-1.0000000000000007,0.09521504707731308,-0.9047849529226876,3,3,1.0,0.9999073576137957,0.03306417002996724,-3.4229752144065984e-05,0.006022582216773896,NO_HIT
42,3,2,0.04,1.5643621214378418,0.01919999999999999,2.220446049250313e-16,-3.863206392787432,-2.8623113887635063,-2.3360681502300986,-0.5262432385334059,-2.3947114626251644,3.7690414830210237,0.2549906122328882,-0.9999999999999991,0.254990612232888,-0.7450093877671111,3,3,1.0,0.5109720671122748,0.03658315502198,-0.0019254608320662392,0.03418682810851115,NO_HIT
43,3,3,0.09979363662730223,1.7970979501863442,0.017777489005656906,2.220446049250313e-16,-0.11378048975070493,-0.1137147809947755,-0.07582206105889408,-0.03789271993588006,-0.07586534580931759,0.6295549128215991,0.10502753325086568,-0.9999999999999986,0.10502753325086553,-0.894972466749133,3,3,0.9999999999999998,0.9994206232003461,0.05532019808324256,-0.0002609158911752729,0.08806473751908306,NO_HIT
44,3,0,0.22899173425540087,1.7726663119160098,0.02369334799383447,0.0,-0.0027772344505026404,-0.0027772308910783455,-0.001851525959607467,-0.0009257049314694843,-0.0018515283243011845,0.17971488994356477,0.036790401727883566,-1.0,0.036790401727883566,-0.9632095982721164,3,3,0.9999999999999994,0.9999987183491453,0.05137068375022267,-9.646122007711533e-05,0.19605498331227278,NO_HIT
45,3,1,0.0292930995927934,1.4930069699471245,0.0037734508243564245,1.1102230246251565e-16,-0.04787409179334804,-0.04786639059946408,-0.03191292442038981,-0.015953466179074838,-0.03191805233616685,0.897849872293108,0.0825160378872816,-1.0,0.0825160378872816,-0.9174839621127184,3,3,0.9999999999999999,0.9998391115978157,0.0432595575469134,-8.446614071000447e-05,0.027544560416281394,NO_HIT
46,3,2,0.039999999999999813,1.725577232796655,0.016114134696900085,0.0,-1.0077657801541982,-1.0061629882822076,-0.6481825371626924,-0.35798045111951504,-0.6323586802346315,4.188013578717019,0.26206160377560034,-0.9999999999999996,0.2620616037756002,-0.7379383962243993,3,3,0.9999999999999999,0.9972512807903118,0.027230371304218695,-0.00039862094938381,0.03726218869595366,NO_HIT
47,3,3,0.1288884704562373,1.9367128980381645,0.0336388248676657,0.0,-0.8544702503283027,-0.8434835843259821,-0.5625597655159189,-0.280923818810062,-0.5688767519381852,1.0335652586534374,0.17695864218985188,-0.9999999999999986,0.17695864218985163,-0.823041357810147,3,3,0.9999999999999996,0.9869918187919849,0.04748736319680889,-0.0010063094762953195,0.12079207755702448,NO_HIT
48,3,0,0.09902861659690713,1.8181205507408364,0.044237447435612115,0.0,-1.3217678419906438,-1.290722504270559,-0.9102323486715915,-0.38049015559896565,-0.9169901901160145,1.9580015807620474,0.25718286554051084,-1.0,0.25718286554051084,-0.7428171344594892,3,3,0.9999999999999999,0.9753622121571018,0.045412497610349954,-0.00138733938425184,0.09750088662247705,NO_HIT
49,3,1,0.058456331836606146,1.4693990687851808,0.002581995919662837,0.0,-0.3465105972989707,-0.3459307811327115,-0.23326693270723758,-0.11266384842547417,-0.23362746613973112,1.6787765710888183,0.21766634170961782,-1.0000000000000004,0.2176663417096179,-0.7823336582903826,3,3,1.0,0.9983219437992417,0.013171034312033479,-3.195799227495577e-05,0.04768965053669749,NO_HIT
50,3,2,0.039999999999999925,1.399552619322752,0.00651389684794553,0.0,-4.061717555512192,-4.276315670485734,-3.5960623959693323,-0.6802532745164014,-2.2378506598147285,2.6601519475841275,0.23471010439359677,-1.0,0.23471010439359677,-0.7652898956064033,3,3,0.9999999999999998,0.6635963696618965,0.04809481465390891,-0.004989968976524484,0.037388828632523075,NO_HIT
51,3,3,0.10755922550438313,1.7353347153710486,0.02305036019791924,0.0,-0.19596582482131225,-0.19578337231074944,-0.13050323781019002,-0.06528013450055703,-0.13062345024343117,0.3739967786897708,0.05984720464949205,-1.0,0.05984720464949205,-0.940152795350508,3,3,1.0,0.9990673188179855,0.07644587218576299,-0.0008718966867413691,0.09936743971634221,NO_HIT
