index,mode,margin,label,rho_psd,rho_unrestricted,unrestricted_same_sign,total_psd_fisher_normalized,min_atom,normalization_residual,generalized_residual,direction_min_rate,direction_max_rate,chord_step,chord_gap,status
552,0,0.010000000000000009,frozen_logit_neighborhood,0.5065561547135363,0.5065561547135363,True,-0.4934438452864637,4.523918757849364e-11,0.0,2.269676154428829e-16,0.2738949213639468,1.0,0.0031076777878499243,-0.00015187340158462348,NO_HIT
553,1,0.014131966420994457,two_edge_clusters,0.509978397241069,0.509978397241069,True,-0.49002160275893103,7.413745129008412e-08,0.0,3.2161309666758293e-16,0.415213574411148,1.0,0.0034035415246325413,-0.0002202519827960714,NO_HIT
554,2,0.01288765628354003,logit_spread,0.3933545812908481,0.3933545812908481,True,-0.6066454187091519,1.970225355644437e-07,0.0,1.6379991800224189e-16,0.42147442435324267,1.0,0.002433315220219269,-8.386793735937204e-05,NO_HIT
555,3,0.01,five_spectral_clusters,0.4934048392810666,0.4934048392810666,True,-0.5065951607189334,2.4844933466290215e-08,0.0,2.0462807930262138e-16,0.2907905348280242,1.0,0.0034389014779707596,-0.00019569303709410235,NO_HIT
556,0,0.010000000000000009,frozen_logit_neighborhood,0.5052600969463579,0.5052600969463579,True,-0.4947399030536421,4.7383910618209655e-11,-1.1102230246251565e-16,3.2340695784079464e-16,0.2439838218050723,1.0,0.0029468182394262114,-0.00015174479265667173,NO_HIT
557,1,0.01893429214223996,two_edge_clusters,0.4869320417220969,0.4869320417220969,True,-0.5130679582779031,8.766231807143849e-08,-1.1102230246251565e-16,2.3063933776081857e-16,0.6042734088426231,1.0,0.0030010623141519077,-0.0001881281335389673,NO_HIT
558,2,0.012224603883525241,logit_spread,0.4940349685626664,0.4940349685626664,True,-0.5059650314373336,5.331892192621169e-10,0.0,1.494688948248861e-16,0.32649105092896724,1.0,0.003053086404235712,-0.00013932749357969954,NO_HIT
559,3,0.024119156363858824,five_spectral_clusters,0.4220845322558914,0.4220845322558914,True,-0.5779154677441086,1.1042220527439662e-08,0.0,2.681010004565073e-16,0.38410348421728296,1.0,0.0032262134662890125,-0.00015864768924878092,NO_HIT
560,0,0.010000000000000009,frozen_logit_neighborhood,0.5133531363572628,0.5133531363572628,True,-0.48664686364273724,6.21871925784619e-12,2.220446049250313e-16,5.641979911887044e-16,0.20482954110454396,1.0,0.0022812124577234554,-8.609207463461388e-05,NO_HIT
561,1,0.01849032649755311,two_edge_clusters,0.48734300753672066,0.48734300753672066,True,-0.5126569924632793,2.131245935416343e-08,-2.220446049250313e-16,5.640829735553778e-16,0.4978874456039606,1.0,0.0032882994733929973,-0.0002419090095377996,NO_HIT
562,2,0.012495497381425262,logit_spread,0.5374001942547407,0.5374001942547407,True,-0.4625998057452593,2.4563013883280116e-09,0.0,2.562007079322537e-16,0.30190797445317574,1.0,0.0035825094670557155,-0.000174627461880128,NO_HIT
563,3,0.016955166925979204,five_spectral_clusters,0.38536810728995563,0.38536810728995563,True,-0.6146318927100444,1.2271504551410437e-07,2.220446049250313e-16,2.0218582580160937e-16,0.4667073202961678,1.0,0.0022049685277053415,-0.0001039380994116712,NO_HIT
564,0,0.010000000000000009,frozen_logit_neighborhood,0.5063310402201945,0.5063310402201945,True,-0.4936689597798055,6.421292955624639e-12,-1.1102230246251565e-16,1.0749431531218745e-16,0.22771627292522953,1.0,0.002302717271582665,-8.599047621160594e-05,NO_HIT
565,1,0.014852131838988418,two_edge_clusters,0.5196799774652344,0.5196799774652344,True,-0.4803200225347656,1.2422954443797128e-09,-2.220446049250313e-16,2.4554646156389787e-16,0.21845904497055652,1.0,0.004670603818740609,-0.0002584949388690916,NO_HIT
566,2,0.01314279659121624,logit_spread,0.3969329476092819,0.3969329476092819,True,-0.6030670523907181,9.717027922722225e-07,0.0,5.354378575729184e-16,0.34448916437302196,1.0,0.0015466918891712384,-3.858847768700713e-05,NO_HIT
567,3,0.02165851245753936,five_spectral_clusters,0.47290202462110553,0.47290202462110553,True,-0.5270979753788945,1.857270174306451e-07,2.220446049250313e-16,1.852544663542492e-16,0.4896490456702754,1.0,0.0027453709937851293,-0.00014420765065992214,NO_HIT
568,0,0.01,frozen_logit_neighborhood,0.5117874382154198,0.5117874382154198,True,-0.48821256178458017,1.0700760562913933e-10,2.220446049250313e-16,2.5683620891198967e-16,0.2958222561856775,1.0,0.0021218128699052245,-7.485391472528136e-05,NO_HIT
