42 -0x1.e7362f0d92ce1p-10 -0x1.e7362f0d924e7p-10 0x1.fffffffffff84p-1 0x1.0000000000041p+0 -0x1.6530000000002p-48 0x1.6530000000002p-48 -0x1.1450000000002p-48 0x1.1418000000002p-48 0.66889998 262144
43 -0x1.dbeb50c83c09ep-10 -0x1.dbeb50c83b8b9p-10 0x1.fffffffffff84p-1 0x1.0000000000041p+0 -0x1.6160000000002p-48 0x1.6110000000002p-48 -0x1.12c0000000002p-48 0x1.12a8000000002p-48 0.684314373 262144
44 -0x1.d03cf4f355c41p-10 -0x1.d03cf4f35546fp-10 0x1.fffffffffff84p-1 0x1.0000000000041p+0 -0x1.5de0000000002p-48 0x1.5db0000000002p-48 -0x1.1168000000002p-48 0x1.1158000000002p-48 0.62891463 262144
45 -0x1.c44c8319fda0dp-10 -0x1.c44c8319fd254p-10 0x1.fffffffffff84p-1 0x1.000000000003fp+0 -0x1.5670000000002p-48 0x1.5690000000002p-48 -0x1.0d58000000002p-48 0x1.0d48000000002p-48 0.600650051 262144
46 -0x1.b83afddd2b597p-10 -0x1.b83afddd2adeep-10 0x1.fffffffffff84p-1 0x1.000000000004p+0 -0x1.55b0000000002p-48 0x1.55a0000000002p-48 -0x1.0db0000000002p-48 0x1.0df8000000002p-48 0.650188307 262144
47 -0x1.ac288fc2bda2cp-10 -0x1.ac288fc2bd29dp-10 0x1.fffffffffff84p-1 0x1.000000000004p+0 -0x1.4dc0000000002p-48 0x1.4e00000000002p-48 -0x1.0910000000002p-48 0x1.08f0000000002p-48 0.623524259 262144
48 -0x1.a03425b9533a8p-10 -0x1.a03425b952c28p-10 0x1.fffffffffff84p-1 0x1.0000000000041p+0 -0x1.4cc0000000002p-48 0x1.4c90000000002p-48 -0x1.0950000000002p-48 0x1.0958000000002p-48 0.620889885 262144
49 -0x1.947b18ff57e04p-10 -0x1.947b18ff57695p-10 0x1.fffffffffff85p-1 0x1.000000000004p+0 -0x1.47c0000000002p-48 0x1.4790000000002p-48 -0x1.0708000000002p-48 0x1.06f8000000002p-48 0.633436737 262144
50 -0x1.8918e97e83365p-10 -0x1.8918e97e82c0cp-10 0x1.fffffffffff86p-1 0x1.000000000004p+0 -0x1.42b0000000002p-48 0x1.4290000000002p-48 -0x1.0538000000002p-48 0x1.0530000000002p-48 0.644773639 262144
51 -0x1.7e27090df7722p-10 -0x1.7e27090df6fd8p-10 0x1.fffffffffff85p-1 0x1.0000000000041p+0 -0x1.3ec0000000002p-48 0x1.3ef0000000002p-48 -0x1.0398000000002p-48 0x1.03b8000000002p-48 0.64490628 262144
52 -0x1.73bcb7716dbc7p-10 -0x1.73bcb7716d48fp-10 0x1.fffffffffff86p-1 0x1.000000000004p+0 -0x1.3950000000002p-48 0x1.3960000000002p-48 -0x1.00c0000000002p-48 0x1.00b8000000002p-48 0.635116257 262144
53 -0x1.69eeee585b02ap-10 -0x1.69eeee585a904p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.32b0000000002p-48 0x1.32f0000000002p-48 -0x1.f9e0000000003p-49 0x1.f9f0000000003p-49 0.637449865 262144
54 -0x1.60d05c194614fp-10 -0x1.60d05c1945a34p-10 0x1.fffffffffff86p-1 0x1.000000000004p+0 -0x1.3280000000002p-48 0x1.3260000000002p-48 -0x1.fbf0000000003p-49 0x1.fb50000000003p-49 0.64907293 262144
55 -0x1.58716b6fd04c5p-10 -0x1.58716b6fcfdb8p-10 0x1.fffffffffff86p-1 0x1.000000000004p+0 -0x1.2d70000000002p-48 0x1.2d70000000002p-48 -0x1.f5e0000000003p-49 0x1.f6c0000000003p-49 0.650867129 262144
56 -0x1.50e05622da06bp-10 -0x1.50e05622d9967p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.2a80000000002p-48 0x1.2a80000000002p-48 -0x1.f450000000002p-49 0x1.f430000000002p-49 0.637097943 262144
57 -0x1.4a29402eba758p-10 -0x1.4a29402eba061p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.2780000000002p-48 0x1.2790000000002p-48 -0x1.f280000000002p-49 0x1.f200000000002p-49 0.705302218 262144
58 -0x1.445658e00005ep-10 -0x1.445658dfff97p-10 0x1.fffffffffff86p-1 0x1.000000000004p+0 -0x1.24f0000000002p-48 0x1.2550000000002p-48 -0x1.f040000000002p-49 0x1.f030000000002p-49 0.670349111 262144
59 -0x1.3f6fff370c959p-10 -0x1.3f6fff370c273p-10 0x1.fffffffffff87p-1 0x1.000000000003fp+0 -0x1.2140000000002p-48 0x1.2170000000002p-48 -0x1.ec00000000002p-49 0x1.ebc00000000002p-49 0.657625832 262144
60 -0x1.3b7ce6f49f41cp-10 -0x1.3b7ce6f49ed3bp-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1fd0000000002p-48 0x1.1fb0000000002p-48 -0x1.eb30000000002p-49 0x1.eb80000000002p-49 0.667620014 262144
61 -0x1.38823bd27d88dp-10 -0x1.38823bd27d1b1p-10 0x1.fffffffffff87p-1 0x1.000000000003fp+0 -0x1.2060000000002p-48 0x1.2060000000002p-48 -0x1.ec10000000002p-49 0x1.ec00000000002p-49 0.718743558 262144
62 -0x1.3683c0a86b04ep-10 -0x1.3683c0a86a972p-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1fb0000000002p-48 0x1.1f80000000002p-48 -0x1.ec70000000002p-49 0x1.ec90000000002p-49 0.671864543 262144
63 -0x1.3583e891f8288p-10 -0x1.3583e891f7bafp-10 0x1.fffffffffff86p-1 0x1.000000000003fp+0 -0x1.1f10000000002p-48 0x1.1f50000000002p-48 -0x1.ebe0000000002p-49 0x1.ec10000000002p-49 0.669308968 262144
