mask,p_center,p_first,p_second,p_radial_first,p_minus,p_plus
82,0.0050601195584143678,0.0002785709680285653,-0.0012555476327754367,0.00287689475417462,0.004952795710033815,0.0050889798842641745
83,0.0048042992576013228,0.0001355075799412418,2.8278539552419008e-05,0.0020406874963749366,0.0047717388896008793,0.0048383207079045849
84,0.0043301167503194656,0.00013590818243499565,-0.00097019366034449648,0.0010479214541201122,0.0042661887198050617,0.0043329398519964006
85,0.0040742964495064328,-7.1552056523274056e-06,0.00031363251198335658,0.0002117141963204327,0.0040851318993721276,0.0040822806756368206
86,0.0043636231305741562,-0.00013504631288401071,0.0026809663029568232,0.00067986504490340292,0.0044799014102669798,0.0044144636995692918
87,0.0036447940613309514,-7.6164727095586774e-06,-0.00049193233052588319,-0.00060515834495790638,0.0036315028495042664,0.0036275075181629391
88,0.0039036852217650166,-0.00012072548093134097,0.0015525637029822359,-0.00024033108354325393,0.0039813794200327813,0.0039224869878676915
89,0.0050809624335064309,-7.1552056523273972e-06,0.0025462684159833571,0.002444350100320433,0.0051620084763721302,0.0051591572526368222
90,0.0044184491145741562,-0.00013504631288401069,0.0029062422069568231,0.00090514094890340325,0.0045420054872669802,0.004476567776569294
91,0.0041702025327764979,-0.00026425013607589518,0.0040381850328008477,0.0001139491173787266,0.0043614660497319907,0.0042318271540342251
92,0.004172221459302709,-7.1656263003423434e-06,0.00071109008799123056,0.00060480193212622394,0.0041966288408620701,0.0041929347860647885
93,0.0039239748775050584,-0.00013636944949222717,0.0018430329138352584,-0.00018638989939845252,0.0040160894033270736,0.0039481941635297144
94,0.0036346481964373311,-8.4783422605438784e-06,-0.00052430087713820734,-0.00065454074798142203,0.0036213198924322271,0.0036160111395972393
95,0.0029538641482912244,0.00013635902884421213,-0.003781891241827384,-0.0017568382687957564,0.0028017697111628612,0.002868822119898252
96,0.0026240370796936853,-0.00023595883074884765,0.00019093436316262156,-0.00332136306592081,0.0026877581312130393,0.0025711724413492319
97,0.0038674947109276305,-0.0001059538025694548,0.0012124635215247626,-0.00036528693490577897,0.0039309384211563886,0.0038788925440679353
98,0.0046251984215909207,8.0274958513274791e-06,0.0014144025546210957,0.0015377045668972936,0.0046665062892099736,0.0046715137655009139
99,0.0044112892336805347,-0.00013590818243499592,0.0028917895643444996,0.00087367444987988753,0.0045354041071949394,0.0044686529750035953
100,0.0052948716214168143,0.00013678047263399593,0.0010688814062599528,0.0031083802173378378,0.0052931106583871635,0.0053620180431341348
101,0.0050809624335064266,-7.155205652327409e-06,0.0025462684159833549,0.0024443501003204304,0.0051620084763721302,0.0051591572526368222
102,0.0053299977961104765,-0.00015070070209291173,0.0049615330898177207,0.0027195339648539972,0.0055238358350512143,0.0054485524856592868
103,0.0045143585406972877,7.1656263003423179e-06,0.00098522991200876886,0.0010915180678737753,0.0045428599091379297,0.0045465539639352173
104,0.0039310616691313506,-0.00010594338192143989,0.0014729177535168887,-0.00010046286271157038,0.004002172133666446,0.0039509690876399686
105,0.0051213268412374354,-2.106501446322832e-05,0.0028829053360531522,0.0025828565467064728,0.0052154692783205649,0.0052070849210022726
106,0.0043636231305741527,-0.00013504631288401061,0.0026809663029568219,0.00067986504490340281,0.0044799014102669798,0.0044144636995692961
107,0.0041572876616791541,-0.00026512242627489522,0.0040064699661963958,6.0850354161002786e-05,0.00434931661114989,0.0042175214628964938
108,0.0046213994673819205,-0.00027858138867658015,0.0051314093047833123,0.0009945970776311752,0.0048508584044561313,0.0047138313991637983
109,0.0044150639984869237,-0.00040865750206746512,0.0064569129680228906,0.00037558238688877493,0.0047202736053390398,0.0045168891624909951
110,0.0041660286358828737,-0.00026511200562688033,0.0040416482941885217,0.00010039852235521106,0.0043584462466599505,0.0042274939294685236
111,0.0033884344015667881,-8.9838146303322473e-05,-1.9346614826893682e-05,-0.0013448915055780336,0.0034063187002400094,0.0033652625694518233
112,0.0030525392377650164,-0.00012072548093134097,-5.7992201017764923e-05,-0.001850886987543255,0.0030800703430327817,0.0030211779108676898
113,0.0042357884175064303,-7.1552056523274395e-06,0.00097154431998335716,0.00086962600432043244,0.0042678625533721318,0.0042650113296368222
114,0.004841894659128613,0.00012158735048232612,0.00036556893963008899,0.0021754775825667703,0.0048232332100392574,0.0048834390636980094
115,0.0045936480773309503,-7.6164727095586867e-06,0.0014975117654741146,0.0013842857510420914,0.004642693772504267,0.004638698441162937
116,0.0041722214593027055,-7.16562630034229e-06,0.00071109008799122959,0.0006048019321262234,0.0041966288408620701,0.0041929347860647842
117,0.0039239748775050549,-0.00013636944949222703,0.0018430329138352569,-0.00018638989939845198,0.0040160894033270814,0.0039481941635297179
118,0.0041660286358828772,-0.00026511200562688049,0.0040416482941885244,0.00010039852235521137,0.0043584462466599505,0.004227493929468527
119,0.0034792726197367669,-0.00012027463452212441,0.00074822612149934829,-0.0010377308064591221,0.0035317329113905838,0.0034731417557695376
120,0.0032752074433027097,-7.1656263003423349e-06,-0.0010709940080087699,-0.0011772821638737767,0.0032439604178620685,0.0032402663630647852
121,0.0042407544380595116,0.00012026421387410964,-0.0011302762574914756,0.00065131083026491465,0.0041766905490993565,0.0042344388736584261
122,0.0036346481964373346,-8.4783422605438733e-06,-0.0005243008771382081,-0.0006545407479814229,0.0036213198924322271,0.0036160111395972393
123,0.00343041860373677,-0.00012027463452212453,0.00055878202549934923,-0.0012271749024591234,0.0034767919883905833,0.0034182008327695358
124,0.0033768718596295707,0.00013505673353202556,-0.0029747438789646972,-0.00096927278070919496,0.0032503628982430768,0.0033166434400027419
125,0.0031726422669290052,2.3260441270444871e-05,-0.0018916609763271392,-0.0015419069351868949,0.0031058349942014343,0.0031188331331750379
126,0.0029305885085511808,0.0001520029974050982,-0.0040902763566804026,-0.0018286953569405569,0.0027634781508685622,0.0028395333672362249
127,0.0023735006991955103,0.00024816574175380774,-0.0061971599124728168,-0.002512020042123848,0.002119803827714564,0.0022409814702979863
128,0.0015552147455226383,-0.00024776513926005368,-0.0012218045754241015,-0.0049012382881309753,0.0015777194834896142,0.0014567111547938293
129,0.0024053664384616792,-0.00016631340870975332,-0.0011509263313528816,-0.0036163439624185799,0.0024102459168756944,0.0023284882530374145
130,0.0030722706320838573,-3.7570852575099733e-05,-0.0014957939997061488,-0.0020493846721722419,0.0030348838045428238,0.0030161832180986034
131,0.0029318456330885792,-0.00013465613103827152,-0.00034212832093222055,-0.0023418932615456296,0.0029540306819610977,0.0028879194540890776
132,0.0038266639035450865,0.00011987403202837059,-0.0018787098256024337,-9.8459055286053662e-05,0.0037387019314052404,0.0037971237731386459
133,0.0036862389045498093,2.2788753565198756e-05,-0.00072504414682850529,-0.00039096764465944257,0.0036578488088235155,0.003668860009129124
134,0.0038674947109276305,-0.00010595380256945478,0.0012124635215247622,-0.00036528693490577854,0.0039309384211563851,0.0038788925440679353
135,0.0032981930159791434,6.765023806588376e-06,-0.0011657460800943136,-0.0010651640818713996,0.0032601182329337541,0.0032636429738433972
136,0.0038755179195450874,0.00011987403202837064,-0.0016892657296024337,9.0985040713946778e-05,0.0037936428544052352,0.0038520646961386438
137,0.0050645104331042629,0.00027942241693153529,-0.0012404415101552374,0.0029046448930039239,0.0049574306085957889,0.0050940853732578334
138,0.004397606239482087,0.00015067986079688193,-0.00089557384180197121,0.0013376856027575879,0.0043327927209286651,0.0044063904081966497
139,0.0041952070319791444,6.7650238065883082e-06,0.00061633801590568608,0.0007169200141286001,0.0042127866559337522,0.0042163113968433979
140,0.0046194434313871977,8.017075203312627e-06,0.0013971401306289689,0.0015160723027030849,0.0046609582306999112,0.0046651228759288788
141,0.0044170442238842499,-0.00013589776178698083,0.0029090519883366228,0.00089530671407409468,0.0045409521657050018,0.0044750438645756287
142,0.004235788417506426,-7.1552056523273955e-06,0.00097154431998335597,0.00086962600432043146,0.0042678625533721284,0.0042650113296368143
143,0.0034515943189531357,0.00012112608342509487,-0.002501103614879153,-0.00070250267071157052,0.0033440869291713939,0.0034031486752241257
144,0.0036383369211770841,6.1617926187766743e-05,-0.0018714673451365972,-0.00094788955939506287,0.0035649618234526834,0.0035947823731872701
145,0.0050645104331042629,0.00027942241693153534,-0.0012404415101552374,0.0029046448930039239,0.0049574306085957975,0.0050940853732578378
146,0.0058331483030382106,0.00045078753099392165,-0.0017532877361291937,0.0049281404236982823,0.0056682769150198367,0.0058884300725044634
147,0.0055400570558999402,0.00027818078618282603,-0.00023981300888639313,0.0038912930606236516,0.0054638939383396933,0.0056007516297443922
148,0.0050787550315769779,0.00029334264639045119,-0.001370371910232909,0.0029772148068120921,0.0049644587881574184,0.0051074895174644122
149,0.0047856637844387083,0.00012073590157935578,0.00014310281700989091,0.0019403674437374623,0.0047600758114772759,0.0048198110747043436
150,0.0051213268412374398,-2.1065014463228347e-05,0.0028829053360531548,0.0025828565467064736,0.0052154692783205649,0.0052070849210022769
151,0.0042813358235867949,0.00010634398441519371,-0.00077506995341380426,0.00080401682045674612,0.0042317664465377283,0.0042831388064518512
152,0.004491372968020854,-6.7650238065883844e-06,0.0010799819840943139,0.00097939998587139986,0.0045267020940662449,0.0045231773531566009
153,0.0058496003034403743,0.00016420990841005861,0.0020334221900094014,0.004467845631014788,0.0058728547827961667,0.0059535019518834418
154,0.0050809624335064352,-7.1552056523275047e-06,0.0025462684159833593,0.0024443501003204348,0.005162008476372125,0.005159157252636817
155,0.0047982546867633459,-0.00016419948776204358,0.0039022402339827233,0.0014721866331794198,0.0049602495257138933,0.0048804451876885944
156,0.0048591252416013263,0.00013550757994124191,0.00025355444355241866,0.0022659634003749382,0.0048338429666008771,0.0049004247849045862
157,0.0045764174948582422,-2.1536702168474489e-05,0.0016095262615517876,0.0012937999332339255,0.0046320840159426429,0.0046217127199563619
158,0.0042407544380595116,0.00012026421387410964,-0.0011302762574914756,0.00065131083026491422,0.0041766905490993565,0.0042344388736584261
159,0.0034479425961261561,0.00026337784587689514,-0.0047956600994052967,-0.00089280788059644973,0.0032340557616859097,0.0033615384048280442
