id,n,gamma,proposal,c,kind,status,reason,rank,eigenvalue_ratio,step,Delta_E,Delta_A,Delta_B,I_minus,I_0,I_plus,MI_bump,marginal_deficit_sum,bump_to_deficit_ratio,information_identity_residual,geometry_term,KL_cost,JS_cost,geometry_identity_residual,curvature_E,curvature_A,curvature_B,curvature_I,min_probability,normalization_residual,mobius_max_error,marginal_kernel_max_error,quadratic_event_max_error,cross_norm_min,second_cross_singular_lower_bound,margin_min,direction_norm_A,direction_norm_B,direction_norm_X
n8_g1_p06,8,2,6,1/2,CHORD,NO_SIGNAL,,2,0.499421686403272,48799/500000,-0.003794508207873193,-0.001386253995593112,-0.0018625671636218755,0.005078610008060589,0.004216674079604146,0.004446112248461735,-0.0005456870486570155,0.0032488211592149874,-0.1679646314507721,-1.1900203045200897e-15,-0.00033302053322137445,2.2404564648358883e-05,0.0034390831100035157,5.637851296924623e-17,-0.7894724142159013,-0.2899716159434547,-0.39018815697093,0.10931264130151663,0.0011183810742581622,2.220446049250313e-16,2.2703193491846463e-16,5.551115123125783e-17,1.734723475976807e-17,0.2653661175103261,0.12772078819388785,0.07548,0.5577701591679137,0.5595137195871535,0.5578412156126261
n8_g1_p07,8,2,7,1,DIRECTION,ACCEPTED,,2,0.9999999999999993,,,,,,,,,,,,,,,,-0.8989362609623462,-0.32156024462451444,-0.3621791218343684,0.21519689450346335,,,,,,,,,0.6251978928183469,0.6560076900425996,0.6149255587213099
n8_g1_p07,8,2,7,1,CHORD,NO_SIGNAL,,2,0.9999999999999993,12263/500000,-0.0002705407938483617,-9.673641622098827e-05,-0.00010896730250742337,0.004265701022934895,0.004216674079604146,0.004297321286511793,-6.48370751191972e-05,0.00020570371872841164,-0.3151964170604075,-7.528699885739343e-16,-3.8690407623756666e-05,1.7696593360329175e-07,0.0002316734202914006,3.988237691487928e-16,-0.8989362609623462,-0.32156024462451444,-0.3621791218343684,0.21519689450346335,0.001168244321498008,2.220446049250313e-16,,5.551115123125783e-17,1.734723475976807e-17,0.2663162675091607,0.16423834558403946,0.075286,0.6251978928183469,0.6560076900425996,0.6149255587213099
n8_g1_p07,8,2,7,1,CHORD,NO_SIGNAL,,2,0.9999999999999993,15329/250000,-0.0016966878960609222,-0.0006053849938174594,-0.0006822993569577385,0.004604545474649004,0.004216674079604146,0.004646809775129223,-0.00040900354528496715,0.0012876843507751978,-0.31762717706303045,-7.572067972638763e-16,-0.00024182293534977142,6.921764254684789e-06,0.0014479431964558032,-6.628812082576374e-16,-0.8989362609623462,-0.32156024462451444,-0.3621791218343684,0.21519689450346335,0.0011022968582610696,2.220446049250313e-16,,5.551115123125783e-17,1.5612511283791264e-17,0.2663162675091607,0.1440083762469826,0.070205,0.6251978928183469,0.6560076900425996,0.6149255587213099
n8_g1_p07,8,2,7,1,CHORD,NO_SIGNAL,,2,0.9999999999999993,52119/500000,-0.00494132300763539,-0.0017545703079355768,-0.001979922211381435,0.005457813225858369,0.004216674079604146,0.00538919590998477,-0.0012068304883174237,0.003734492519317012,-0.323157827221498,-9.54097911787244e-16,-0.0006988790105577826,5.7979929795235686e-05,0.004184464067282789,4.180683577104105e-16,-0.8989362609623462,-0.32156024462451444,-0.3621791218343684,0.21519689450346335,0.0010284192017751602,2.220446049250313e-16,2.1206994493816467e-16,5.551115123125783e-17,2.42861286636753e-17,0.2663162675091607,0.12040656206146605,0.063311,0.6251978928183469,0.6560076900425996,0.6149255587213099
n8_g2_p00,8,5/2,0,1/2,DIRECTION,ACCEPTED,,2,0.4617211962765688,,,,,,,,,,,,,,,,-0.9726297740021327,-0.3718066844186243,-0.16259494346876593,0.4382281461147425,,,,,,,,,0.6978276741463301,0.2164977988476075,0.5064283926864939
n8_g2_p00,8,5/2,0,1/2,CHORD,NO_SIGNAL,,2,0.4617211962765688,2947/125000,-0.0002708728322051712,-0.00010337614460675937,-4.518811968345915e-05,0.010708251904700278,0.01183305667192876,0.013202478574988193,-0.00012230856791547486,0.00014856426429021852,-0.8232704446107344,5.221517662690189e-16,-3.34913012244471e-05,7.794457935978758e-08,0.0002373035864007278,-6.365350954662397e-16,-0.9726297740021327,-0.3718066844186243,-0.16259494346876593,0.4382281461147425,0.0007833999156194098,0.0,,4.163336342344337e-17,1.5612511283791264e-17,0.3256209854690731,0.21051306227849284,0.03202,0.6978276741463301,0.2164977988476075,0.5064283926864939
n8_g2_p00,8,5/2,0,1/2,CHORD,NO_SIGNAL,,2,0.4617211962765688,58941/1000000,-0.0017126399452980223,-0.0006476315582388814,-0.0002824591884120764,0.00938868897062174,0.01183305667192876,0.01584252277053177,-0.0007825491986479943,0.0009300907466509578,-0.8413686529682974,9.298117831235686e-16,-0.00020932773555125902,3.050051919929171e-06,0.0015002621578279474,1.113258790708116e-15,-0.9726297740021327,-0.3718066844186243,-0.16259494346876593,0.4382281461147425,0.000504659408841889,2.220446049250313e-16,,4.163336342344337e-17,1.9081958235744878e-17,0.31519389853177704,0.19304848956313092,0.020459,0.6978276741463301,0.2164977988476075,0.5064283926864939
n8_g2_p00,8,5/2,0,1/2,CHORD,NO_SIGNAL,,2,0.4617211962765688,100199/1000000,-0.005106703776657007,-0.0018814824523829543,-0.0008164509089083616,0.008281159474483026,0.01183305667192876,0.020202494700107397,-0.0024087704153664506,0.002697933361291316,-0.8928205751581415,7.598088824778415e-16,-0.0006049487032536158,2.557319575859072e-05,0.004476181877645757,9.575673587391975e-16,-0.9726297740021327,-0.3718066844186243,-0.16259494346876593,0.4382281461147425,0.0001568110352151784,2.220446049250313e-16,1.4137996329210978e-16,4.163336342344337e-17,1.734723475976807e-17,0.3039123616586545,0.17267373087260635,0.006285,0.6978276741463301,0.2164977988476075,0.5064283926864939
n8_g2_p01,8,5/2,1,1,DIRECTION,ACCEPTED,,2,1.0,,,,,,,,,,,,,,,,-1.3406449852142308,-0.4145995279948958,-0.5948795144479009,0.3311659427714342,,,,,,,,,0.48806056011620674,0.5591258489750838,0.6108130407270111
n8_g2_p01,8,5/2,1,1,CHORD,NO_SIGNAL,,2,1.0,17383/1000000,-0.00020259668091338057,-6.264167428193801e-05,-8.988116849018013e-05,0.011956265259085065,0.01183305667192876,0.011809995761056843,-5.007383814219224e-05,0.00015252284277211814,-0.3283038607994393,9.298117831235686e-16,-2.7738986146237733e-05,4.521756714903025e-08,0.0001748124772005255,5.316927453868914e-16,-1.3406449852142308,-0.4145995279948958,-0.5948795144479009,0.3311659427714342,0.0009474332333467146,2.220446049250313e-16,,4.163336342344337e-17,1.5612511283791264e-17,0.3324761406323988,0.21230100729100396,0.038977,0.48806056011620674,0.5591258489750838,0.6108130407270111
n8_g2_p01,8,5/2,1,1,CHORD,NO_SIGNAL,,2,1.0,21729/500000,-0.0012677787830934761,-0.00039159092104901205,-0.0005619076946059565,0.012330779798871093,0.01183305667192876,0.011963893879865982,-0.00031428016743977744,0.0009534986156549685,-0.32960736626124515,1.2698175844150228e-15,-0.00017337265282045566,1.7675650469355499e-06,0.001092638565227233,1.1481701006621492e-15,-1.3406449852142308,-0.4145995279948958,-0.5948795144479009,0.3311659427714342,0.0009233984785899849,0.0,,4.163336342344337e-17,1.5612511283791264e-17,0.33235984752453507,0.19751856247206653,0.038132,0.48806056011620674,0.5591258489750838,0.6108130407270111
n8_g2_p01,8,5/2,1,1,CHORD,NO_SIGNAL,,2,1.0,36939/500000,-0.0036737786526757077,-0.001132144518879663,-0.0016247819703640864,0.013064368322815666,0.01183305667192876,0.012435449347908183,-0.0009168521634331638,0.0027569264892437495,-0.33256315212258886,1.205632815803881e-15,-0.0005010388282471684,1.4784852523764988e-05,0.003157954971905852,1.0776969594505914e-15,-1.3406449852142308,-0.4145995279948958,-0.5948795144479009,0.3311659427714342,0.0008858151165853293,2.220446049250313e-16,2.9371036852632315e-16,4.163336342344337e-17,1.3877787807814457e-17,0.33235984752453507,0.1802728492834922,0.036786,0.48806056011620674,0.5591258489750838,0.6108130407270111
n8_g2_p02,8,5/2,2,2,DIRECTION,ACCEPTED,,2,0.469709712868975,,,,,,,,,,,,,,,,-3.8119090329899743,-1.3055096929515668,-1.4201071407500154,1.0862921992883923,,,,,,,,,0.9678443149811333,0.9735048171582462,1.1082023943277985
n8_g2_p02,8,5/2,2,2,CHORD,NO_SIGNAL,,2,0.469709712868975,2699/200000,-0.00034748962970443387,-0.00011889607959725268,-0.0001293259081789344,0.011114850071544034,0.01183305667192876,0.012749798556171253,-9.926764192888168e-05,0.0002482219877761871,-0.39991478119330737,6.349087922075114e-16,-4.3132479148746904e-05,9.185122349439673e-08,0.0003042652993325845,3.9193908535350985e-16,-3.8119090329899743,-1.3055096929515668,-1.4201071407500154,1.0862921992883923,0.000873867657404933,2.220446049250313e-16,,4.163336342344337e-17,1.5612511283791264e-17,0.3286654035152744,0.20782373632643858,0.039187,0.9678443149811333,0.9735048171582462,1.1082023943277985
