left_mask,right_mask,mu,a,b
5,2,465833758647647/50000000000000000,2746114779326423983641/2329168793238235000000,207612120214019917209406239/582292198309558750000000000
5,3,409136580511103/50000000000000000,1721916608030964851359/2045682902555515000000,52511191599538625880544011/511420725638878750000000000
5,4,933056171834997/50000000000000000,-819686369201316088453/1555093619724995000000,-4008572009591265359284941/55539057847321250000000000
5,5,791763946823753/50000000000000000,-4170625844924445399641/3958819734118765000000,344303324014975115634934011/989704933529691250000000000
5,6,692661464301353/50000000000000000,2877804137372410958359/3463307321506765000000,180994828523486085008944011/865826830376691250000000000
5,7,581988227039897/50000000000000000,478642710126821706641/2909941135199485000000,-441118140337044628098894261/727485283799871250000000000
6,0,685830991926003/50000000000000000,-1523877447176383228547/1143051653210005000000,126579282301740911846253837/285762913302501250000000000
6,1,604089346415247/50000000000000000,-76130342044814673779/143830796765535000000,-120400247704777664794579/1645123492416250000000000
6,2,534276833737647/50000000000000000,-135855730680269502453/890461389562745000000,-86324138963695181998240587/222615347390686250000000000
6,3,469249367921103/50000000000000000,477450154981742447453/782082279868505000000,-21833905439214747134442663/195520569967126250000000000
6,4,1070146351424997/50000000000000000,-452135725960117195151/594525750791665000000,98043841633256386116609/1249003678133750000000000
6,5,908094629733753/50000000000000000,63831731719699575779/216213007079465000000,-143159695865982458976312663/378372762389063750000000000
6,6,794431419211353/50000000000000000,115155038069741973779/189150337907465000000,-75256794801118259691642663/331013091338063750000000000
6,7,667497409629897/50000000000000000,1818695206542873738547/1112495682716495000000,183414839204028188824325913/278123920679123750000000000
7,0,496576974162997/50000000000000000,-3480627004846690949359/2482884870814985000000,3345364475223823458863379/6821112282458750000000000
7,1,437391811245753/50000000000000000,-14369634822877321051/24032517101415000000,-54094998570401338601181/667569919483750000000000
7,2,386843955123353/50000000000000000,-226381358999273857641/1934219775616765000000,-175497007209843388715433/408753122488750000000000
7,3,339760719467897/50000000000000000,1097600342088640022641/1698803597339485000000,-577048394362247358152121/4667042849833750000000000
7,4,774841095486003/50000000000000000,-1037108266714144869547/1291401825810005000000,44050419945915122142351/506829601966250000000000
7,5,657507299605247/50000000000000000,9146825874956959051/36126774703585000000,-3783568306954428976442121/9031693675896250000000000
7,6,575209278927647/50000000000000000,287851168775047273663/410863770662605000000,-1988962200360076970552121/7901226358896250000000000
7,7,483302515981103/50000000000000000,4181050254735181419359/2416512579905515000000,4847471688450288382004871/6638770823916250000000000
