example,s,r,eig_min,eig_max,feasible,hessian,fisher,acceleration,min_event_probability
canonical_n5,0.0001,0.0005,0.0001061128408769787,0.9998478017767369,True,0.033391954089439624,-0.0,0.033391954089439624,3.1376232151199467e-12
canonical_n5,0.0001,0.001,0.0001061128408769787,0.9998478017767369,True,0.033357582128190844,-0.0,0.033357582128190844,3.1376232151199467e-12
canonical_n5,0.0001,0.002,0.0001061128408769787,0.9998478017767369,True,0.033287957516153543,-0.0,0.033287957516153543,3.1376232151199467e-12
canonical_n5,0.0001,0.005,0.0001061128408769787,0.9998478017767369,True,0.033072038170577356,-0.0,0.033072038170577356,3.1376232151199467e-12
canonical_n5,0.0001,0.01,0.0001061128408769787,0.9998478017767369,True,0.03268868755403731,-0.0,0.03268868755403731,3.1376232151199467e-12
canonical_n5,0.0001,0.02,0.0001061128408769787,0.9998478017767369,True,0.03183391742444508,-0.0,0.03183391742444508,3.1376232151199467e-12
canonical_n5,0.0001,0.05,0.0001061128408769787,0.9998478017767369,True,0.028565055854704147,-0.0,0.028565055854704147,3.1376232151199467e-12
canonical_n5,0.0001,0.1,0.0001061128408769787,0.9998478017767369,True,0.020768449310605952,-0.0,0.020768449310605952,3.1376232151199467e-12
canonical_n5,0.0001,0.2,0.0001061128408769787,0.9998478017767369,True,-0.003631653515279498,-0.0,-0.003631653515279498,3.1376232151199467e-12
canonical_n5,0.0001,0.4,0.0001061128408769787,0.9998478017767369,True,-0.08765941811132716,-0.0,-0.08765941811132716,3.1376232151199467e-12
canonical_n5,0.0001,0.6,0.0001061128408769787,0.9998478017767369,True,-0.21865726130136415,-0.0,-0.21865726130136415,3.1376232151199467e-12
canonical_n5,0.0001,0.8,0.0001061128408769787,0.9998478017767369,True,-0.39662518308491185,-0.0,-0.39662518308491185,3.1376232151199467e-12
canonical_n5,0.0001,1.0,0.0001061128408769787,0.9998478017767369,True,-0.6215631834621362,-0.0,-0.6215631834621362,3.1376232151199467e-12
canonical_n5,0.0005,0.0,0.00018542306068746974,0.9996424352471053,True,0.023021640707994617,-0.0,0.023021640707994617,2.3877082635465784e-11
canonical_n5,0.0005,0.0001,0.00018542306068746974,0.9996424352471053,True,0.023016882859272725,-0.0,0.023016882859272725,2.3877082635465784e-11
canonical_n5,0.0005,0.0005,0.00018542306068746974,0.9996424352471053,True,0.02299774417975331,-0.0,0.02299774417975331,2.3877082635465784e-11
canonical_n5,0.0005,0.001,0.00018542306068746974,0.9996424352471053,True,0.022973579441668335,-0.0,0.022973579441668335,2.3877082635465784e-11
canonical_n5,0.0005,0.002,0.00018542306068746974,0.9996424352471053,True,0.022924445338663002,-0.0,0.022924445338663002,2.3877082635465784e-11
canonical_n5,0.0005,0.005,0.00018542306068746974,0.9996424352471053,True,0.022770606007815664,-0.0,0.022770606007815664,2.3877082635465784e-11
canonical_n5,0.0005,0.01,0.00018542306068746974,0.9996424352471053,True,0.02249275038689036,-0.0,0.02249275038689036,2.3877082635465784e-11
canonical_n5,0.0005,0.02,0.00018542306068746974,0.9996424352471053,True,0.021856576382152104,-0.0,0.021856576382152104,2.3877082635465784e-11
canonical_n5,0.0005,0.05,0.00018542306068746974,0.9996424352471053,True,0.01930435226689675,-0.0,0.01930435226689675,2.3877082635465784e-11
canonical_n5,0.0005,0.1,0.00018542306068746974,0.9996424352471053,True,0.012904971739323923,-0.0,0.012904971739323923,2.3877082635465784e-11
canonical_n5,0.0005,0.2,0.00018542306068746974,0.9996424352471053,True,-0.00794006557573712,-0.0,-0.00794006557573712,2.3877082635465784e-11
canonical_n5,0.0005,0.4,0.00018542306068746974,0.9996424352471053,True,-0.08181524524480355,-0.0,-0.08181524524480355,2.3877082635465784e-11
canonical_n5,0.0005,0.6,0.00018542306068746974,0.9996424352471053,True,-0.1986038982990015,-0.0,-0.1986038982990015,2.3877082635465784e-11
canonical_n5,0.0005,0.8,0.00018542306068746974,0.9996424352471053,True,-0.35830602473818335,-0.0,-0.35830602473818335,2.3877082635465784e-11
canonical_n5,0.0005,1.0,0.00018542306068746974,0.9996424352471053,True,-0.560921624562406,-0.0,-0.560921624562406,2.3877082635465784e-11
canonical_n5,0.001,0.0,0.0002743320849499436,0.9994140037688041,True,0.0010771243437979194,-0.0,0.0010771243437979194,9.373182993112652e-11
canonical_n5,0.001,0.0001,0.0002743320849499436,0.9994140037688041,True,0.0010763048474891068,-0.0,0.0010763048474891068,9.373182993112652e-11
canonical_n5,0.001,0.0005,0.0002743320849499436,0.9994140037688041,True,0.0010729244471539001,-0.0,0.0010729244471539001,9.373182993112652e-11
canonical_n5,0.001,0.001,0.0002743320849499436,0.9994140037688041,True,0.0010684685129143112,-0.0,0.0010684685129143112,9.373182993112652e-11
canonical_n5,0.001,0.002,0.0002743320849499436,0.9994140037688041,True,0.0010587885310204825,-0.0,0.0010587885310204825,9.373182993112652e-11
canonical_n5,0.001,0.005,0.0002743320849499436,0.9994140037688041,True,0.0010236036802726556,-0.0,0.0010236036802726556,9.373182993112652e-11
canonical_n5,0.001,0.01,0.0002743320849499436,0.9994140037688041,True,0.0009444792428681126,-0.0,0.0009444792428681126,9.373182993112652e-11
canonical_n5,0.001,0.02,0.0002743320849499436,0.9994140037688041,True,0.0007094190462599848,-0.0,0.0007094190462599848,9.373182993112652e-11
canonical_n5,0.001,0.05,0.0002743320849499436,0.9994140037688041,True,-0.0006102521161521768,-0.0,-0.0006102521161521768,9.373182993112652e-11
canonical_n5,0.001,0.1,0.0002743320849499436,0.9994140037688041,True,-0.00485800596341357,-0.0,-0.00485800596341357,9.373182993112652e-11
canonical_n5,0.001,0.2,0.0002743320849499436,0.9994140037688041,True,-0.021034645820391273,-0.0,-0.021034645820391273,9.373182993112652e-11
canonical_n5,0.001,0.4,0.0002743320849499436,0.9994140037688041,True,-0.08411245418391822,-0.0,-0.08411245418391822,9.373182993112652e-11
canonical_n5,0.001,0.6,0.0002743320849499436,0.9994140037688041,True,-0.18815630074696593,-0.0,-0.18815630074696593,9.373182993112652e-11
canonical_n5,0.001,0.8,0.0002743320849499436,0.9994140037688041,True,-0.33316618550953275,-0.0,-0.33316618550953275,9.373182993112652e-11
canonical_n5,0.001,1.0,0.0002743320849499436,0.9994140037688041,True,-0.5191421084714988,-0.0,-0.5191421084714988,9.373182993112652e-11
canonical_n5,0.002,0.0,0.00044362609240856363,0.9989721581354638,True,-0.02536489330198899,-0.0,-0.02536489330198899,4.738208268281112e-10
canonical_n5,0.002,0.0001,0.00044362609240856363,0.9989721581354638,True,-0.025360984870511194,-0.0,-0.025360984870511194,4.738208268281112e-10
canonical_n5,0.002,0.0005,0.00044362609240856363,0.9989721581354638,True,-0.025345447874643323,-0.0,-0.025345447874643323,4.738208268281112e-10
canonical_n5,0.002,0.001,0.00044362609240856363,0.9989721581354638,True,-0.025326244273235154,-0.0,-0.025326244273235154,4.738208268281112e-10
canonical_n5,0.002,0.002,0.00044362609240856363,0.9989721581354638,True,-0.0252885625490058,-0.0,-0.0252885625490058,4.738208268281112e-10
canonical_n5,0.002,0.005,0.00044362609240856363,0.9989721581354638,True,-0.025181321202628837,-0.0,-0.025181321202628837,4.738208268281112e-10
canonical_n5,0.002,0.01,0.00044362609240856363,0.9989721581354638,True,-0.02502193171319611,-0.0,-0.02502193171319611,4.738208268281112e-10
canonical_n5,0.002,0.02,0.00044362609240856363,0.9989721581354638,True,-0.024775700564619862,-0.0,-0.024775700564619862,4.738208268281112e-10
canonical_n5,0.002,0.05,0.00044362609240856363,0.9989721581354638,True,-0.0246173897585944,-0.0,-0.0246173897585944,4.738208268281112e-10
canonical_n5,0.002,0.1,0.00044362609240856363,0.9989721581354638,True,-0.026288147215724922,-0.0,-0.026288147215724922,4.738208268281112e-10
canonical_n5,0.002,0.2,0.00044362609240856363,0.9989721581354638,True,-0.036884445131287524,-0.0,-0.036884445131287524,4.738208268281112e-10
