family,epsilon,n,delta,threshold_status,symmetric_difference,transition_count,count_over_log_n,spectral_distance_to_01,closest_to_half,eig_min,eig_max
near_symmetric_m2_least,0.002,16,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,2.1640425613334453,1.2469180336504824,0.49360487234889461;0.32147284067609161;0.82949743865231695;0.90602772485644645;0.092368882656077997;0.03590153435752811,0.0020000000007423294,0.9939132077478101
near_symmetric_m2_least,0.002,16,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,5,1.8033688011112043,1.2469180336504824,0.49360487234889461;0.32147284067609161;0.82949743865231695;0.90602772485644645;0.092368882656077997;0.03590153435752811,0.0020000000007423294,0.9939132077478101
near_symmetric_m2_least,0.002,16,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,3,1.0820212806667227,1.2469180336504824,0.49360487234889461;0.32147284067609161;0.82949743865231695;0.90602772485644645;0.092368882656077997;0.03590153435752811,0.0020000000007423294,0.9939132077478101
near_symmetric_m2_least,0.002,16,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,2,0.7213475204444817,1.2469180336504824,0.49360487234889461;0.32147284067609161;0.82949743865231695;0.90602772485644645;0.092368882656077997;0.03590153435752811,0.0020000000007423294,0.9939132077478101
near_symmetric_m2_least,0.2,24,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,24,7.551791530658996,5.646920893585573,0.51288666253511406;0.48590518139631234;0.27470384536979636;0.73548188958782412;0.73922553395726998;0.25375776922341564,0.19999999999999996,0.7999174307249732
near_symmetric_m2_least,0.2,24,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,24,7.551791530658996,5.646920893585573,0.51288666253511406;0.48590518139631234;0.27470384536979636;0.73548188958782412;0.73922553395726998;0.25375776922341564,0.19999999999999996,0.7999174307249732
near_symmetric_m2_least,0.2,24,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,24,7.551791530658996,5.646920893585573,0.51288666253511406;0.48590518139631234;0.27470384536979636;0.73548188958782412;0.73922553395726998;0.25375776922341564,0.19999999999999996,0.7999174307249732
near_symmetric_m2_least,0.2,24,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,24,7.551791530658996,5.646920893585573,0.51288666253511406;0.48590518139631234;0.27470384536979636;0.73548188958782412;0.73922553395726998;0.25375776922341564,0.19999999999999996,0.7999174307249732
near_symmetric_m2_least,0.2,24,0.2,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,23,7.237133550214872,5.646920893585573,0.51288666253511406;0.48590518139631234;0.27470384536979636;0.73548188958782412;0.73922553395726998;0.25375776922341564,0.19999999999999996,0.7999174307249732
near_symmetric_m2_least,0.05,24,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,24,7.551791530658996,2.47038134037836,0.51932999380267098;0.47885777209446856;0.16205576805469452;0.85322283438173618;0.85883830093590507;0.13063665383512349,0.04999999999999992,0.94987614608746
near_symmetric_m2_least,0.05,24,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,24,7.551791530658996,2.47038134037836,0.51932999380267098;0.47885777209446856;0.16205576805469452;0.85322283438173618;0.85883830093590507;0.13063665383512349,0.04999999999999992,0.94987614608746
near_symmetric_m2_least,0.05,24,0.05,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,23,7.237133550214872,2.47038134037836,0.51932999380267098;0.47885777209446856;0.16205576805469452;0.85322283438173618;0.85883830093590507;0.13063665383512349,0.04999999999999992,0.94987614608746
near_symmetric_m2_least,0.05,24,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.887947882664749,2.47038134037836,0.51932999380267098;0.47885777209446856;0.16205576805469452;0.85322283438173618;0.85883830093590507;0.13063665383512349,0.04999999999999992,0.94987614608746
near_symmetric_m2_least,0.05,24,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,2,0.6293159608882497,2.47038134037836,0.51932999380267098;0.47885777209446856;0.16205576805469452;0.85322283438173618;0.85883830093590507;0.13063665383512349,0.04999999999999992,0.94987614608746
near_symmetric_m2_least,0.01,24,0.01,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,23,7.237133550214872,1.6233041261897705,0.52104821547401947;0.47697846294731017;0.13201628077066735;0.88462041966011262;0.89073503879687432;0.097804356398245557,0.009999999999999913,0.9898651368507897
near_symmetric_m2_least,0.01,24,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,7,2.202605863108874,1.6233041261897705,0.52104821547401947;0.47697846294731017;0.13201628077066735;0.88462041966011262;0.89073503879687432;0.097804356398245557,0.009999999999999913,0.9898651368507897
near_symmetric_m2_least,0.01,24,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.887947882664749,1.6233041261897705,0.52104821547401947;0.47697846294731017;0.13201628077066735;0.88462041966011262;0.89073503879687432;0.097804356398245557,0.009999999999999913,0.9898651368507897
