family,epsilon,n,Hn_second,increment_second,Hn_second_over_n,conditional_fisher,prediction_vertical,spectral_increment,coherence_increment
near_symmetric_m3_selected,0.01,3,-1.2026379264115044e-06,-1.1875341388470643e-06,-4.008793088038348e-07,-5.043990669579813e-34,-1.1875341388470643e-06,-6.59411650496151e-05,6.475363091076804e-05
near_symmetric_m3_selected,0.01,4,-6.776971695021252e-06,-5.5743337686097475e-06,-1.694242923755313e-06,-8.658337223373995e-34,-5.5743337686097475e-06,-0.00023751660215987357,0.0002319422683912638
near_symmetric_m3_selected,0.01,5,-2.182359811507781e-05,-1.504662642005656e-05,-4.364719623015562e-06,-6.563767356704132e-33,-1.504662642005656e-05,-0.0004993189351124042,0.0004842723086923476
near_symmetric_m3_selected,0.01,6,-7.716502010761478e-05,-5.534142199253697e-05,-1.2860836684602463e-05,-7.685579384157735e-33,-5.534142199253697e-05,-0.0008641873365564567,0.0008088459145639198
near_symmetric_m3_selected,0.01,7,-0.00016309679107994027,-8.593177097232549e-05,-2.329954158284861e-05,-1.0880550278247111e-32,-8.593177097232549e-05,-0.0011948187771533593,0.0011088870061810338
near_symmetric_m3_selected,0.01,8,-0.0002612665779612648,-9.816978688132453e-05,-3.26583222451581e-05,-1.2079371449763692e-32,-9.816978688132453e-05,-0.0015598531974663921,0.0014616834105850675
near_symmetric_m3_selected,0.01,9,-0.0003718383034655773,-0.00011057172550431253,-4.131536705173081e-05,-1.4775062963379482e-32,-0.00011057172550431253,-0.001963708085618923,0.0018531363601146107
near_symmetric_m3_selected,0.01,10,-0.0005026729093293086,-0.00013083460586373128,-5.026729093293086e-05,-1.6439547187128545e-32,-0.00013083460586373128,-0.0021297634933303937,0.0019989288874666623
near_symmetric_m3_selected,0.01,11,-0.0006764518184921274,-0.0001737789091628188,-6.149561986292067e-05,-1.7760793036013472e-32,-0.0001737789091628188,-0.00216812963356835,0.0019943507244055314
near_symmetric_m3_selected,0.01,12,-0.0008962013001521153,-0.0002197494816599879,-7.468344167934294e-05,-2.8519162136257646e-32,-0.0002197494816599879,-0.0023307297409216887,0.002110980259261701
near_symmetric_m3_selected,0.01,13,-0.0011366140898163885,-0.00024041278966427314,-8.743185306279911e-05,-3.0745402413086967e-32,-0.00024041278966427314,-0.002718213881037955,0.002477801091373682
near_symmetric_m3_selected,0.01,14,-0.001386583034381883,-0.0002499689445654946,-9.904164531299164e-05,-3.3378466058392046e-32,-0.0002499689445654946,-0.0032137557083612434,0.002963786763795749
near_symmetric_m3_selected,0.01,15,-0.0016509824839572001,-0.00026439944957531704,-0.00011006549893048,-3.5307975266302183e-32,-0.00026439944957531704,-0.0034586102224056156,0.0031942107728302987
near_symmetric_m3_selected,0.01,16,-0.0019400565661720393,-0.00028907408221483905,-0.00012125353538575245,-3.6682904227559496e-32,-0.00028907408221483905,-0.0034797645797785513,0.0031906904975637124
near_symmetric_m3_selected,0.01,17,-0.002254959412989043,-0.0003149028468170039,-0.00013264467135229666,-4.2031130780706474e-32,-0.0003149028468170039,-0.0036021479778607854,0.0032872451310437816
near_symmetric_m3_selected,0.01,18,-0.002585858340303121,-0.00033089892731407794,-0.00014365879668350672,-4.5015729150159486e-32,-0.00033089892731407794,-0.00394283460110513,0.003611935673791052
near_symmetric_m3_selected,0.01,19,-0.0029250644228436392,-0.00033920608254051825,-0.00015395075909703363,-4.7784518361424666e-32,-0.00033920608254051825,-0.004391978518464748,0.0040527724359242295
