family,epsilon,delta,n_min,n_max,points,slope_vs_log_n,intercept,r_squared_diagnostic,max_abs_residual,linear_plus_log_linear_coefficient,linear_plus_log_log_coefficient,linear_plus_log_constant,linear_plus_log_max_abs_residual,symbol_half_level_measure,semantics
near_symmetric_m2_least,0.002,0.01,64,2048,11,3.094642014883876,-3.5884276413075957,0.9436731044190554,1.4634039574319964,0.002682423243545053,1.7066579234071595,2.9174363712054805,1.0352699912564738,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.05,0.05,64,2048,11,263.16152330816095,-1206.9812597786602,0.8385469937440839,261.4749127366272,0.4917491845046333,8.712473654438748,-14.30842921396451,3.9411877501090657,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.05,0.1,64,2048,11,2.3058509009547183,-4.010860822356953,0.8315083123254698,2.4296262636848525,0.0037162964027745438,0.3829029475786774,5.002526265166969,0.9228370673847266,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.05,0.2,64,2048,11,2.1187222744084178,-6.539699957430376,0.8478996178668791,2.385249877577131,0.0034691871629294354,0.32363769777102325,1.8743562398112763,0.6700894719799821,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.2,0.01,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.2,0.02,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.2,0.05,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.2,0.1,64,2048,11,517.436647932712,-2425.3681920512836,0.8292517617351867,528.1109020888512,1.0000000000000009,-1.9962772151168962e-13,1.0861266205703202e-12,1.3642420526593924e-12,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m2_least,0.2,0.2,64,2048,11,272.0259489628179,-1247.0819031117967,0.8427765626440925,265.98768792186775,0.5003175442984785,13.143315939087076,-33.627645245058304,5.291782679414382,0.0029296875,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.002,0.01,64,2048,11,10.55657409759234,-35.57020303194765,0.9001520085627972,8.080347738646573,0.014792124978579355,2.9025865328745315,0.30614638394585997,1.0493270258206842,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.002,0.02,64,2048,11,9.783062287593847,-33.992157986559015,0.8626623655681346,8.400035525790976,0.01647679251553924,1.2573659996704558,5.970130487658382,0.977982459012054,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.002,0.05,64,2048,11,9.087079418222702,-33.60024224687587,0.8850257353263532,7.314723985956753,0.013845902265188292,1.9227021625197482,-0.018831302637477176,1.0647109042025882,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.002,0.1,64,2048,11,8.611213283229842,-33.602000872273415,0.834743946454345,8.944780579091152,0.016213052755850582,0.22198561248631266,5.720621577815922,0.8614746140045213,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.002,0.2,64,2048,11,8.612023116553393,-37.24315752328345,0.8540712900441119,8.57976255956681,0.01486049423046249,0.9226587953194847,-1.2009874985581475,1.4968982599564304,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
near_symmetric_m3_selected,0.01,0.01,64,2048,11,273.22047330024134,-1252.4244464543629,0.8477367579732531,261.22243832188565,0.49308892417031375,18.078193244807075,-56.50225391889726,5.263086648393767,0.01519775390625,deterministic least-squares diagnostic; not a confidence interval
